,categories,published_year,average_rating,num_pages,ratings_count,tipo_avaliacao
397,30,2000,3.95,432,9792.0,acima da média
398,30,2002,4.21,368,638.0,acima da média
399,30,1999,3.7,336,1334.0,abaixo da média
400,30,2001,3.66,562,2010.0,abaixo da média
401,30,2000,3.97,241,86465.0,acima da média
402,30,2001,3.94,496,1523.0,acima da média
403,30,1999,4.04,218,47.0,acima da média
404,30,1997,4.27,293,43988.0,acima da média
405,30,1998,4.18,346,3575.0,acima da média
406,30,2002,4.15,940,518.0,acima da média
407,30,1998,3.88,704,59.0,abaixo da média
408,30,1995,3.6,397,2391.0,abaixo da média
409,30,1996,3.9,274,1855.0,abaixo da média
410,30,1999,4.25,320,696.0,acima da média
411,30,1997,3.32,384,3603.0,abaixo da média
412,30,1999,3.39,430,2660.0,abaixo da média
413,30,1995,4.42,544,2538.0,acima da média
414,30,1996,3.83,352,2218.0,abaixo da média
415,30,1997,3.88,448,6000.0,abaixo da média
416,30,1999,4.04,512,1671.0,acima da média
417,30,2006,3.9,219,209110.0,abaixo da média
418,30,2006,4.26,496,326733.0,acima da média
419,30,2006,4.06,448,1510.0,acima da média
420,30,2006,3.9,432,95447.0,abaixo da média
421,30,2006,3.57,208,68403.0,abaixo da média
422,30,2006,3.85,197,1592632.0,abaixo da média
423,30,2006,3.7,210,126224.0,abaixo da média
424,40,2007,3.59,32,189.0,abaixo da média
425,40,2006,4.16,224,226.0,acima da média
426,8,2006,3.95,512,2720.0,acima da média
427,63,2006,4.03,192,35605.0,acima da média
428,30,2006,3.96,208,395.0,acima da média
429,8,2006,3.43,320,4314.0,abaixo da média
430,40,2006,4.24,320,9482.0,acima da média
431,55,2006,4.2,432,132.0,acima da média
432,30,2006,4.03,432,1060.0,acima da média
433,30,2006,3.3,128,117.0,abaixo da média
434,54,2006,4.22,208,176.0,acima da média
435,30,2006,4.05,162,377685.0,acima da média
436,30,2006,3.68,96,173.0,abaixo da média
437,30,2007,3.79,384,272.0,abaixo da média
438,30,2007,3.31,384,672.0,abaixo da média
439,30,2006,4.08,248,264799.0,acima da média
440,58,2006,4.17,240,2141.0,acima da média
441,30,2006,3.91,322,3542.0,acima da média
442,30,2006,4.01,512,237587.0,acima da média
443,30,2006,3.83,388,28962.0,abaixo da média
444,30,2006,3.92,528,45.0,acima da média
445,30,2007,3.87,291,49265.0,abaixo da média
446,66,2007,4.0,176,167.0,acima da média
447,49,2006,4.34,144,5801.0,acima da média
